id,sku,isbn,title,author,publisher,year,image_url,purchase_price,estimated_price,condition,format,location,storage_location,notes,type,status,purchase_date,date_added
26,1177-419764,9781473231177,The Blacktongue Thief,Christopher Buehlman,Gollancz,2022,https://images.isbndb.com/covers/14449293482712.jpg,12.03,,Like New,Oversize,Local Retailer,"","",COGS,available,2025-05-17,2025-06-02 00:00:21.943028
33,9505-332867,9780006479505,The Fionavar Tapestry 1. The Summer Tree 2. The Wandering Fire 3. The Darkest Road,Guy Gavriel Kay,Harper Perennial,1995,https://images.isbndb.com/covers/7714953482190.jpg,24,,Very Good,Trade Paperback,Thrift Store,,,COGS,available,2025-06-02,2025-06-02 03:52:15.443254
34,7459-381188,9780316017459,The Terror: A Novel,Dan Simmons,Back Bay Books,2007,https://images.isbndb.com/covers/13657593482300.jpg,12,,Like New,Trade Paperback,Online Retailer,,,COGS,available,2025-06-02,2025-06-02 03:53:01.348681
35,9502-792494,0006479502,The Fionavar Tapestry 1. The Summer Tree 2. The Wandering Fire 3. The Darkest Road,Guy Gavriel Kay,Harper Perennial,1995,https://images.isbndb.com/covers/7714953482190.jpg,24,,Like New,Trade Paperback,Garage Sale,,,COGS,available,2025-06-02,2025-06-02 03:59:52.989124
36,8524-919628,9780517228524,"The Heritage of Shannara Books One and Two: The Scions of Shannara, The Druid of Shannara",Terry Brooks,Wings,2006,https://images.isbndb.com/covers/3591363482372.jpg,23,,Very Good,Hardcover,Thrift Store,,,COGS,available,2025-05-07,2025-06-02 04:01:59.788031
37,8524-954155,9780517228524,"The Heritage of Shannara Books One and Two: The Scions of Shannara, The Druid of Shannara",Terry Brooks,Wings,2006,https://images.isbndb.com/covers/3591363482372.jpg,33,,Like New,Hardcover,Online Retailer,,,COGS,available,2025-06-19,2025-06-02 04:02:34.342746
38,3754-370999,9780345453754,The Sword of Shannara Trilogy,Terry Brooks,Del Rey,2002,https://images.isbndb.com/covers/27162643482310.jpg,43,,Like New,Hardcover,,,,COGS,available,2025-06-03,2025-06-02 04:26:11.019182
39,9502-454018,0006479502,The Fionavar Tapestry 1. The Summer Tree 2. The Wandering Fire 3. The Darkest Road,Guy Gavriel Kay,Harper Perennial,1995,https://images.isbndb.com/covers/7714953482190.jpg,24,,Very Good,Trade Paperback,Estate Sale,,,COGS,available,2025-06-01,2025-06-02 04:44:14.566895
40,9505-512197,9780006479505,The Fionavar Tapestry 1. The Summer Tree 2. The Wandering Fire 3. The Darkest Road,Guy Gavriel Kay,Harper Perennial,1995,https://images.isbndb.com/covers/7714953482190.jpg,12.23,,Very Good,Trade Paperback,Estate Sale,,,COGS,available,2025-06-02,2025-06-02 04:45:12.372126
42,9502-524726,0006479502,The Fionavar Tapestry 1. The Summer Tree 2. The Wandering Fire 3. The Darkest Road,Guy Gavriel Kay,Harper Perennial,1995,https://images.isbndb.com/covers/7714953482190.jpg,33.99,,Very Good,Trade Paperback,,,,COGS,available,2025-06-02,2025-06-02 06:25:25.251012
43,9505-304239,9780006479505,The Fionavar Tapestry 1. The Summer Tree 2. The Wandering Fire 3. The Darkest Road,Guy Gavriel Kay,Harper Perennial,1995,https://images.isbndb.com/covers/7714953482190.jpg,5,,Very Good,Trade Paperback,,,,COGS,available,2025-06-02,2025-06-02 06:38:24.406574
44,3639-897928,9780684813639,John Adams,David McCullough,Simon & Schuster,2001,https://images.isbndb.com/covers/22380903482431.jpg,3,,Very Good,Hardcover,Online Retailer,,,COGS,available,2025-06-03,2025-06-03 11:58:20.505594
